model,ood_tier,method_id,method_name,K,repeat_seed,n_total,n_total_molecules,n_support,n_support_rows,n_query,n_query_molecules,mode,unirt_seed,checkpoint,dataset_signature,support_rng_seed,head_init_seed,mae_sec,rmse_sec,medae_sec,mape_pct,r2
Uni-RT GINKAN,external_OOD,0391,ticlopidine,1000,2032,6541,6541,1000,1000,5541,5541,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1116032.0,4132.0,48.06921791609917,63.70504739415576,39.209673135695255,32.81650619524417,0.2624361733448638
Uni-RT GINKAN,external_OOD,0391,ticlopidine,1000,2034,6541,6541,1000,1000,5541,5541,frozen_backbone_fresh_head,2,best_model.pth,1f344771e53cc296,1116034.0,4134.0,45.76466603988041,59.40699738409762,37.31376752841978,32.35582141865838,0.365274632900878
Uni-RT GINKAN,external_OOD,0411,Thermo Scientific Hypersil GOLD aQ,0,-1,45,45,0,0,45,45,zero_shot_source_task_ensemble,2,best_model.pth,a97a4b51281dd815,,,38.62053476178804,51.9061160904906,27.233569418480783,12.4749596932047,0.5425973732324962
Uni-RT GINKAN,external_OOD,0411,Thermo Scientific Hypersil GOLD aQ,5,2004,45,45,5,5,40,40,frozen_backbone_fresh_head,2,best_model.pth,a97a4b51281dd815,1115009.0,3109.0,191.9682354080957,302.1611926160936,125.41347773120688,53.500933998061726,-14.06623872882912
Uni-RT GINKAN,external_OOD,0411,Thermo Scientific Hypersil GOLD aQ,5,2006,45,45,5,5,40,40,frozen_backbone_fresh_head,2,best_model.pth,a97a4b51281dd815,1115011.0,3111.0,202.47096882208552,227.66216049928593,196.71905373829009,57.46834534548263,-6.964749202990976
Uni-RT GINKAN,external_OOD,0411,Thermo Scientific Hypersil GOLD aQ,5,2011,45,45,5,5,40,40,frozen_backbone_fresh_head,2,best_model.pth,a97a4b51281dd815,1115016.0,3116.0,277.6690766950454,389.9179538481007,177.535601502612,82.44066353020393,-22.902816929616588
Uni-RT GINKAN,external_OOD,0411,Thermo Scientific Hypersil GOLD aQ,5,2012,45,45,5,5,40,40,frozen_backbone_fresh_head,2,best_model.pth,a97a4b51281dd815,1115017.0,3117.0,221.95971776085736,328.5061160159599,119.02616682345852,56.167705105096424,-15.61072252140072
Uni-RT GINKAN,external_OOD,0411,Thermo Scientific Hypersil GOLD aQ,5,2016,45,45,5,5,40,40,frozen_backbone_fresh_head,2,best_model.pth,a97a4b51281dd815,1115021.0,3121.0,831.4963268065437,1601.8243420021006,177.13940488962007,218.29449620507896,-411.07533105918986
Uni-RT GINKAN,external_OOD,0411,Thermo Scientific Hypersil GOLD aQ,5,2020,45,45,5,5,40,40,frozen_backbone_fresh_head,2,best_model.pth,a97a4b51281dd815,1115025.0,3125.0,208.29090220230083,294.69212574425785,126.24765124642256,56.689004788305056,-18.49579335813616
Uni-RT GINKAN,external_OOD,0411,Thermo Scientific Hypersil GOLD aQ,5,2022,45,45,5,5,40,40,frozen_backbone_fresh_head,2,best_model.pth,a97a4b51281dd815,1115027.0,3127.0,273.18537550969506,339.5052442799682,257.6142652985625,84.18473550349374,-17.075994178293623
